internalName,color
CAST_SAP_BAPI_ATTRIBUTE,"rgb(170, 86, 196)"
CAST_SAP_BAPI_EVENT,"rgb(170, 86, 196)"
CAST_SAP_BAPI_File,"rgb(170, 86, 196)"
CAST_Web_HTC_Class,"rgb(227, 76, 2)"
CAST_Web_HTC_Property,"rgb(227, 76, 2)"
CAST_Web_HTC_Event,"rgb(227, 76, 2)"
CAST_Web_HTC_Method,"rgb(227, 76, 2)"
CAST_VBScript_ServerSide_Constant,"rgb(241, 224, 5)"
CAST_VBScript_ServerSide_Variable,"rgb(241, 224, 5)"
CAST_VBScript_ServerSide_Class,"rgb(241, 224, 5)"
CAST_VBScript_ServerSide_Sub,"rgb(241, 224, 5)"
CAST_VBScript_ServerSide_Function,"rgb(241, 224, 5)"
CAST_VBSCript_ServerSide_PropertyLet,"rgb(241, 224, 5)"
CAST_VBSCript_ServerSide_PropertyGet,"rgb(241, 224, 5)"
CAST_VBSCript_ServerSide_PropertySet,"rgb(241, 224, 5)"
CAST_VBScript_ClientSide_Constant,"rgb(241, 224, 5)"
CAST_VBScript_ClientSide_Class,"rgb(241, 224, 5)"
CAST_VBScript_ClientSide_Sub,"rgb(241, 224, 5)"
CAST_VBScript_ClientSide_Function,"rgb(241, 224, 5)"
CAST_VBSCript_ClientSide_PropertyLet,"rgb(241, 224, 5)"
CAST_VBSCript_ClientSide_PropertyGet,"rgb(241, 224, 5)"
CAST_VBSCript_ClientSide_PropertySet,"rgb(241, 224, 5)"
CAST_Web_ExternalUrlDirectory,"rgb(227, 76, 2)"
CAST_DotNet_UnaryOperatorCSharp,"rgb(23, 134, 0)"
CAST_DotNet_BinaryOperatorCSharp,"rgb(23, 134, 0)"
CAST_DotNet_ConversionOperatorCSharp,"rgb(23, 134, 0)"
CAST_HTML_Event,"rgb(227, 76, 2)"
CAST_Web_AppletDirectory,"rgb(227, 76, 2)"
CAST_Java_Applet,"rgb(176, 114, 1)"
CAST_Javascript_ClientSide_Variable,"rgb(241, 224, 5)"
CAST_Javascript_ServerSide_Variable,"rgb(241, 224, 5)"
CAST_Javascript_ServerSide_Method,"rgb(241, 224, 5)"
CAST_Javascript_ClientSide_Method,"rgb(241, 224, 5)"
CAST_Javascript_Method_Parameter,"rgb(241, 224, 5)"
CAST_VBScript_ClientSide_Variable,"rgb(241, 224, 5)"
CAST_Oracle_Instance,"rgb(241, 8, 8)"
CAST_Oracle_Schema,"rgb(241, 8, 8)"
CAST_Oracle_RelationalTable,"rgb(241, 8, 8)"
